participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10012,Malaysia,magnitude,2 | 4,2,TRUE,neutral,0.6437,-0.19131649087103073
10012,Malaysia,magnitude,1 | 3,2,TRUE,congruent,0.5575,-0.25375512827980173
10012,Malaysia,magnitude,8 | 3,5,TRUE,congruent,0.5189,-0.2849163293050727
10012,Malaysia,magnitude,1 | 6,5,TRUE,congruent,0.4287,-0.3678465164893673
10012,Malaysia,magnitude,2 | 1,1,TRUE,neutral,0.5433,-0.26496029496627915
10012,Malaysia,magnitude,8 | 6,2,TRUE,incongruent,0.7451,-0.12778543660241448
10012,Malaysia,magnitude,8 | 3,5,TRUE,neutral,0.4883,-0.31131327571587647
10012,Malaysia,magnitude,7 | 2,5,TRUE,congruent,0.5608,-0.2511919950413978
10012,Malaysia,magnitude,4 | 3,1,TRUE,incongruent,0.4929,-0.3072411818452758
10012,Malaysia,magnitude,6 | 8,2,TRUE,neutral,0.5899,-0.22922160383085236
10012,Malaysia,magnitude,3 | 8,5,TRUE,incongruent,0.5942,-0.2260673525323548
10012,Malaysia,magnitude,8 | 6,2,TRUE,neutral,0.4902,-0.30962669308394086
10012,Malaysia,magnitude,3 | 4,1,TRUE,incongruent,0.6297,-0.2008663066979371
10012,Malaysia,magnitude,4 | 9,5,TRUE,congruent,0.6109,-0.21402987486799047
10012,Malaysia,magnitude,1 | 3,2,TRUE,neutral,0.6103,-0.21445663004340695
10012,Malaysia,magnitude,3 | 1,2,TRUE,congruent,0.4613,-0.3360165453917333
10012,Malaysia,magnitude,2 | 4,2,TRUE,incongruent,0.6936,-0.15889091553184612
10012,Malaysia,magnitude,6 | 7,1,TRUE,congruent,0.4955,-0.30495634117870585
10012,Malaysia,magnitude,6 | 1,5,TRUE,neutral,0.5058,-0.296021174991614
10012,Malaysia,magnitude,8 | 9,1,TRUE,neutral,0.4623,-0.3350761065619183
10012,Malaysia,magnitude,9 | 8,1,TRUE,neutral,0.7269,-0.13852533114283136
10012,Malaysia,magnitude,4 | 2,2,TRUE,neutral,0.5416,-0.2663213443229121
10012,Malaysia,magnitude,2 | 7,5,TRUE,neutral,0.5719,-0.2426799034533277
10012,Malaysia,magnitude,7 | 9,2,TRUE,congruent,0.8146,-0.08905559425002112
10012,Malaysia,magnitude,9 | 7,2,TRUE,incongruent,0.927,-0.0329202658555029
