participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10015,Malaysia,physical,4 | 2,2,TRUE,congruent,0.4928,-0.30732930084363097
10015,Malaysia,physical,2 | 1,1,TRUE,incongruent,1.08,0.03342375548694973
10015,Malaysia,physical,1 | 2,1,TRUE,congruent,0.6963,-0.15720360482441983
10015,Malaysia,physical,2 | 4,2,TRUE,incongruent,0.5336,-0.2727841790915075
10015,Malaysia,physical,1 | 3,2,TRUE,congruent,0.5673,-0.24618721643529784
10015,Malaysia,physical,8 | 6,2,TRUE,congruent,0.6469,-0.18916284885951165
10015,Malaysia,physical,7 | 9,2,TRUE,congruent,0.5509,-0.25892722762667864
10015,Malaysia,physical,6 | 1,5,TRUE,incongruent,0.7462,-0.12714475529518973
10015,Malaysia,physical,3 | 1,2,TRUE,congruent,0.4627,-0.3347005005001029
10015,Malaysia,physical,6 | 8,2,TRUE,incongruent,0.5871,-0.23128791962233644
10015,Malaysia,physical,3 | 4,1,TRUE,incongruent,0.4944,-0.3059215379192406
10015,Malaysia,physical,6 | 1,5,TRUE,congruent,0.5094,-0.2929410593724037
10015,Malaysia,physical,7 | 2,5,TRUE,incongruent,0.5255,-0.279427279635739
10015,Malaysia,physical,4 | 2,2,TRUE,incongruent,0.6388,-0.19463509253355465
10015,Malaysia,physical,2 | 1,1,TRUE,congruent,0.5458,-0.26296646866612233
10015,Malaysia,physical,9 | 7,2,TRUE,congruent,0.5168,-0.2866774950129723
10015,Malaysia,physical,6 | 8,2,TRUE,congruent,0.4448,-0.351835221425999
10015,Malaysia,physical,3 | 1,2,TRUE,incongruent,0.5198,-0.2841637248350062
10015,Malaysia,physical,9 | 4,5,TRUE,congruent,0.5998,-0.22199353857649168
10015,Malaysia,physical,8 | 9,1,TRUE,incongruent,0.6054,-0.21795758337944582
10015,Malaysia,physical,7 | 6,1,TRUE,congruent,0.6528,-0.18521985425419524
10015,Malaysia,physical,1 | 3,2,TRUE,incongruent,0.9759,-0.01059468199848399
10015,Malaysia,physical,2 | 4,2,TRUE,congruent,0.6867,-0.16323295260579468
10015,Malaysia,physical,4 | 3,1,TRUE,incongruent,0.5856,-0.23239893194966454
10015,Malaysia,physical,1 | 6,5,TRUE,congruent,0.4585,-0.3386606599939601
10015,Malaysia,physical,4 | 9,5,TRUE,congruent,0.608,-0.21609642072726507
10015,Malaysia,physical,9 | 8,1,TRUE,incongruent,0.5041,-0.29748330256184946
10015,Malaysia,physical,1 | 6,5,TRUE,incongruent,0.5487,-0.2606650398039207
10015,Malaysia,physical,8 | 3,5,TRUE,incongruent,0.4984,-0.3024219663488868
10015,Malaysia,physical,7 | 9,2,TRUE,incongruent,0.5485,-0.2608233680892701
10015,Malaysia,physical,1 | 2,1,TRUE,incongruent,0.6443,-0.19091186865365373
10015,Malaysia,physical,8 | 9,1,TRUE,congruent,0.5856,-0.23239893194966454
10015,Malaysia,physical,6 | 7,1,TRUE,incongruent,0.5166,-0.28684559816270166
10015,Malaysia,physical,8 | 3,5,TRUE,congruent,0.4774,-0.32111758532926427
10015,Malaysia,physical,7 | 2,5,TRUE,congruent,0.5166,-0.28684559816270166
10015,Malaysia,physical,9 | 7,2,TRUE,incongruent,0.4893,-0.31042478424006176
10015,Malaysia,physical,2 | 7,5,TRUE,incongruent,0.5713,-0.24313577593945096
10015,Malaysia,physical,9 | 8,1,TRUE,congruent,0.559,-0.25258819211357664
10015,Malaysia,physical,3 | 8,5,TRUE,congruent,0.4564,-0.340654364253823
10015,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.6988,-0.1556471036891067
10016,Malaysia,physical,7 | 9,2,TRUE,incongruent,0.8731,-0.05893601178009799
10016,Malaysia,physical,4 | 2,2,TRUE,congruent,0.5378,-0.26937920211271726
10016,Malaysia,physical,9 | 4,5,TRUE,incongruent,0.5601,-0.2517344273312592
10016,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.4727,-0.3254143976970861
10016,Malaysia,physical,8 | 6,2,TRUE,incongruent,0.8402,-0.07561732279802685
10016,Malaysia,physical,1 | 3,2,TRUE,congruent,0.4876,-0.3119363030536557
10016,Malaysia,physical,7 | 6,1,TRUE,incongruent,0.5393,-0.2681695797118376
10016,Malaysia,physical,3 | 8,5,TRUE,incongruent,0.5044,-0.297224922098956
10016,Malaysia,physical,6 | 7,1,TRUE,congruent,0.679,-0.1681302257194983
10016,Malaysia,physical,7 | 2,5,TRUE,incongruent,0.7518,-0.12389767862220635
10016,Malaysia,physical,3 | 4,1,TRUE,incongruent,0.5657,-0.2474138212595908
10016,Malaysia,physical,2 | 7,5,TRUE,incongruent,0.485,-0.3142582613977364
10016,Malaysia,physical,9 | 4,5,TRUE,congruent,0.4188,-0.37799332699319527
10016,Malaysia,physical,1 | 6,5,TRUE,incongruent,0.6256,-0.20370325994820837
10016,Malaysia,physical,2 | 4,2,TRUE,incongruent,0.5491,-0.26034855629062315
10016,Malaysia,physical,1 | 2,1,TRUE,incongruent,0.5265,-0.2786016244784947
10016,Malaysia,physical,3 | 8,5,TRUE,congruent,0.4634,-0.33404397054604323
10016,Malaysia,physical,9 | 7,2,TRUE,congruent,0.4501,-0.34669098706152107
10016,Malaysia,physical,8 | 6,2,TRUE,congruent,1.019,0.008174184006426355
10016,Malaysia,physical,9 | 8,1,TRUE,congruent,0.5492,-0.2602694714352825
10016,Malaysia,physical,4 | 3,1,TRUE,incongruent,0.5594,-0.25227753796449154
10016,Malaysia,physical,4 | 2,2,TRUE,incongruent,0.5579,-0.25344363858963087
10016,Malaysia,physical,6 | 1,5,FALSE,incongruent,0.4398,-0.3567447749752284
10016,Malaysia,physical,6 | 1,5,TRUE,congruent,0.9012,-0.04517881694820678
