participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
10010,CAB,0.7965,1,magnitude,9 | 7,2,neutral
10010,CAB,0.5132,0,magnitude,9 | 7,2,incongruent
10010,CAB,0.8982,1,magnitude,4 | 2,2,congruent
10010,CAB,0.662,1,magnitude,7 | 9,2,neutral
10010,CAB,0.5817,1,magnitude,1 | 6,5,congruent
10010,CAB,0.5352,1,magnitude,1 | 3,2,congruent
10010,CAB,0.5106,1,magnitude,1 | 2,1,neutral
10010,CAB,0.5957,1,magnitude,3 | 1,2,incongruent
10010,CAB,0.6292,1,magnitude,6 | 8,2,incongruent
10010,CAB,0.5463,1,magnitude,8 | 9,1,neutral
10010,CAB,0.7442,1,magnitude,8 | 6,2,congruent
10010,CAB,0.6097,1,magnitude,2 | 4,2,neutral
10010,CAB,0.6959,1,magnitude,8 | 6,2,neutral
10010,CAB,0.5426,1,magnitude,6 | 1,5,congruent
10010,CAB,0.5483,1,magnitude,4 | 9,5,incongruent
10010,CAB,0.4774,1,magnitude,4 | 9,5,congruent
10010,CAB,0.5113,1,magnitude,6 | 1,5,incongruent
10010,CAB,0.5367,1,magnitude,2 | 1,1,incongruent
10010,CAB,0.5619,1,magnitude,3 | 8,5,neutral
10010,CAB,0.6098,1,magnitude,6 | 7,1,incongruent
10010,CAB,0.5784,1,magnitude,2 | 4,2,incongruent
10010,CAB,0.8149,1,magnitude,4 | 3,1,incongruent
10010,CAB,0.4811,1,magnitude,8 | 3,5,congruent
10010,CAB,0.4445,0,magnitude,7 | 6,1,incongruent
10010,CAB,0.7958,1,magnitude,6 | 7,1,congruent
10010,CAB,0.5115,1,magnitude,4 | 2,2,incongruent
10010,CAB,0.5639,1,magnitude,3 | 4,1,neutral
10010,CAB,0.602,1,magnitude,9 | 4,5,congruent
10010,CAB,0.553,1,magnitude,1 | 3,2,incongruent
10010,CAB,0.5322,1,magnitude,3 | 1,2,neutral
10010,CAB,0.5342,1,magnitude,1 | 3,2,neutral
10010,CAB,0.6433,1,magnitude,9 | 8,1,incongruent
10010,CAB,0.5497,1,magnitude,8 | 3,5,neutral
10010,CAB,0.4943,1,magnitude,1 | 2,1,incongruent
10010,CAB,0.5841,1,magnitude,7 | 6,1,neutral
10010,CAB,0.6126,1,magnitude,3 | 4,1,incongruent
10010,CAB,0.5105,1,magnitude,6 | 1,5,neutral
10010,CAB,0.4781,1,magnitude,3 | 4,1,congruent
10010,CAB,0.5184,1,magnitude,2 | 4,2,congruent
10010,CAB,0.8607,1,magnitude,8 | 6,2,incongruent
10010,CAB,0.6116,1,magnitude,4 | 3,1,congruent
10010,CAB,0.6783,1,magnitude,8 | 3,5,incongruent
10010,CAB,0.5287,1,magnitude,6 | 8,2,neutral
10010,CAB,0.7784,1,magnitude,4 | 9,5,neutral
10010,CAB,0.7348,1,magnitude,9 | 8,1,neutral
10010,CAB,0.4267,1,magnitude,2 | 7,5,congruent
10011,BCA,0.4948,1,magnitude,2 | 7,5,congruent
10011,BCA,0.6575,1,magnitude,9 | 7,2,congruent
10011,BCA,0.608,1,magnitude,3 | 1,2,neutral
10011,BCA,0.6199,1,magnitude,8 | 9,1,incongruent
10011,BCA,0.5976,1,magnitude,2 | 7,5,neutral
10011,BCA,0.4845,1,magnitude,9 | 8,1,congruent
10011,BCA,0.4598,1,magnitude,3 | 8,5,incongruent
10011,BCA,0.4728,1,magnitude,2 | 4,2,congruent
10011,BCA,0.4249,1,magnitude,8 | 3,5,congruent
10011,BCA,0.7098,1,magnitude,7 | 2,5,incongruent
10011,BCA,0.5511,1,magnitude,9 | 8,1,neutral
10011,BCA,0.4884,1,magnitude,3 | 8,5,congruent
10011,BCA,0.4168,1,magnitude,4 | 2,2,neutral
10011,BCA,0.4646,1,magnitude,3 | 4,1,neutral
10011,BCA,0.5792,1,magnitude,7 | 9,2,neutral
10011,BCA,0.6046,1,magnitude,1 | 2,1,neutral
10011,BCA,0.4319,1,magnitude,6 | 1,5,incongruent
10011,BCA,0.504,1,magnitude,4 | 9,5,incongruent
10011,BCA,0.5012,1,magnitude,8 | 3,5,incongruent
10011,BCA,0.543,1,magnitude,2 | 1,1,neutral
10011,BCA,0.5006,1,magnitude,6 | 1,5,neutral
