participant,group,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral
19152,ACB,0.5813916666666666,0.5891733333333333,0.64840625,0.69265,100,93.75,100,100,0.6054833333333334,0.6853434782608696,0.5813916666666666,100,95.83333333333334,100,0.695425,0.6982458333333333,0.6552625,100,100,100,0.6394916666666667,0.7502625,0.6591791666666666,100,100,100
19164,BAC,0.5839083333333334,0.5836933333333333,0.61281875,0.68296875,100,93.75,100,100,0.6708166666666666,0.582104347826087,0.5839083333333334,100,95.83333333333334,100,1.1676708333333334,1.04575,0.9057916666666667,100,100,100,1.01505,1.0744083333333334,1.0297541666666667,100,100,100
19178,BAC,0.5174166666666666,0.5894375000000001,0.604,0.5329375,100,100,100,100,0.5696708333333333,0.5812458333333334,0.5174166666666666,100,100,100,0.7008,0.7067875,0.5887333333333333,100,100,100,0.603075,0.7600791666666666,0.6331666666666667,100,100,100
19179,CAB,0.5876250000000001,0.5755625,0.5791875,0.6218666666666667,100,100,100,93.75,0.5732608695652174,0.609125,0.5876250000000001,95.83333333333334,100,100,0.726909090909091,0.6272916666666667,0.6085,91.66666666666666,100,100,0.646625,0.6781739130434783,0.6319130434782608,100,95.83333333333334,95.83333333333334
19180,BAC,0.587125,0.6884375,0.6614,0.5627857142857142,100,100,93.75,87.5,0.597,0.6898571428571428,0.587125,100,87.5,100,0.7674782608695652,0.7242272727272727,0.6774583333333333,95.83333333333334,91.66666666666666,100,0.6942173913043478,0.7278695652173913,0.7450434782608696,95.83333333333334,95.83333333333334,95.83333333333334
19188,CAB,0.5585083333333334,0.6073733333333333,0.5858687499999999,0.5670999999999999,100,93.75,100,100,0.5477125,0.6266521739130435,0.5585083333333334,100,95.83333333333334,100,0.7015181818181818,0.6332333333333333,0.5815333333333333,91.66666666666666,87.5,100,0.6081772727272727,0.6646739130434782,0.6373045454545454,91.66666666666666,95.83333333333334,91.66666666666666
19193,CAB,0.6917083333333334,0.688375,0.7079375,0.7765,100,100,100,100,0.6715833333333333,0.7769583333333333,0.6917083333333334,100,100,100,0.814,0.6898461538461539,0.8269285714285713,54.166666666666664,54.166666666666664,58.333333333333336,0.72525,NA,0.8575625,100,NA,66.66666666666666
19196,ABC,0.6527916666666667,0.7270125000000001,0.6102466666666667,0.6252066666666667,100,100,93.75,93.75,0.5935521739130435,0.7179260869565217,0.6527916666666667,95.83333333333334,95.83333333333334,100,0.7725083333333334,0.7914818181818182,0.6598083333333333,100,91.66666666666666,100,0.7005583333333333,0.8406227272727272,0.6867125,100,91.66666666666666,100
19199,CAB,0.8933,1.0803375,0.9429875,1.16150625,100,100,100,100,0.9355708333333334,1.18765,0.8933,100,100,100,0.9579791666666667,0.9763583333333333,0.8851304347826087,100,100,95.83333333333334,0.8483666666666667,1.0454826086956521,0.9323,100,95.83333333333334,100
19205,CAB,0.5148708333333334,0.5274625,0.5144733333333333,0.51208125,100,100,93.75,100,0.4894875,0.5479173913043478,0.5148708333333334,100,95.83333333333334,100,0.8461625,0.8148833333333333,0.7701260869565217,100,100,95.83333333333334,0.8053041666666667,0.8776565217391304,0.7526916666666666,100,95.83333333333334,100
