participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
18601,CBA,0.582,1,magnitude,3 | 4,1,incongruent
18601,CBA,0.574,1,magnitude,7 | 2,5,incongruent
18601,CBA,0.476,1,magnitude,8 | 3,5,neutral
18601,CBA,0.526,1,magnitude,7 | 9,2,incongruent
18601,CBA,0.628,1,magnitude,2 | 4,2,neutral
18601,CBA,0.574,1,magnitude,1 | 3,2,neutral
18601,CBA,0.503,1,magnitude,1 | 2,1,neutral
18601,CBA,0.708,1,magnitude,9 | 7,2,incongruent
18601,CBA,0.528,1,magnitude,9 | 8,1,incongruent
18601,CBA,0.575,1,magnitude,6 | 7,1,neutral
18601,CBA,0.544,1,magnitude,4 | 2,2,incongruent
18601,CBA,0.47,1,magnitude,4 | 3,1,incongruent
18601,CBA,0.843,1,magnitude,6 | 8,2,incongruent
18601,CBA,0.701,1,magnitude,6 | 7,1,incongruent
18601,CBA,0.544,1,physical,4 | 3,1,congruent
18601,CBA,0.457,1,physical,6 | 8,2,congruent
18601,CBA,0.474,1,physical,7 | 6,1,congruent
18601,CBA,0.428,1,physical,6 | 6,0,neutral
18601,CBA,0.446,1,physical,3 | 1,2,congruent
18601,CBA,0.425,1,physical,6 | 6,0,neutral
18601,CBA,0.466,0,physical,9 | 7,2,incongruent
18601,CBA,0.703,1,physical,4 | 9,5,incongruent
18601,CBA,0.459,0,physical,2 | 1,1,incongruent
18601,CBA,0.61,1,physical,3 | 3,0,neutral
18601,CBA,0.51,1,physical,6 | 1,5,congruent
18601,CBA,0.41,1,physical,9 | 9,0,neutral
18601,CBA,0.458,1,physical,6 | 8,2,incongruent
18601,CBA,0.462,1,physical,8 | 8,0,neutral
18601,CBA,0.609,1,physical,8 | 9,1,incongruent
18601,CBA,0.641,1,physical,4 | 2,2,incongruent
18601,CBA,0.482,1,physical,1 | 1,0,neutral
18601,CBA,0.46,1,physical,1 | 3,2,congruent
18601,CBA,0.608,1,physical,6 | 7,1,incongruent
18601,CBA,0.464,1,physical,9 | 8,1,incongruent
18601,CBA,0.431,1,physical,3 | 3,0,neutral
18601,CBA,0.345,1,physical,8 | 6,2,incongruent
18601,CBA,0.507,1,physical,7 | 7,0,neutral
18601,CBA,0.933,1,physical,1 | 2,1,incongruent
18601,CBA,0.758,1,physical,8 | 6,2,congruent
18601,CBA,0.442,1,physical,4 | 9,5,congruent
18601,CBA,0.518,1,physical,9 | 9,0,neutral
18601,CBA,0.53,1,physical,4 | 4,0,neutral
18601,CBA,0.425,0,physical,1 | 6,5,incongruent
18601,CBA,0.509,1,physical,3 | 4,1,incongruent
18601,CBA,0.709,1,physical,8 | 8,0,neutral
18601,CBA,0.475,1,physical,9 | 4,5,incongruent
18601,CBA,0.808,1,physical,1 | 3,2,incongruent
18601,CBA,0.543,1,physical,6 | 7,1,congruent
18601,CBA,0.508,1,physical,1 | 2,1,congruent
18601,CBA,0.463,0,physical,6 | 1,5,incongruent
18601,CBA,0.632,1,physical,3 | 4,1,congruent
18601,CBA,0.599,1,physical,3 | 3,0,neutral
18601,CBA,0.459,0,physical,3 | 8,5,incongruent
18601,CBA,0.892,1,physical,2 | 7,5,incongruent
18601,CBA,0.509,1,physical,4 | 3,1,incongruent
18601,CBA,0.638,1,physical,1 | 6,5,congruent
18601,CBA,0.627,1,physical,4 | 4,0,neutral
18601,CBA,0.468,1,physical,2 | 4,2,congruent
18601,CBA,0.617,1,physical,7 | 7,0,neutral
18601,CBA,0.509,1,physical,1 | 1,0,neutral
18601,CBA,0.482,1,physical,4 | 4,0,neutral
18601,CBA,0.659,1,physical,7 | 6,1,incongruent
18601,CBA,0.521,1,physical,2 | 2,0,neutral
18601,CBA,0.476,1,physical,8 | 8,0,neutral
18601,CBA,0.413,1,physical,8 | 3,5,congruent
18601,CBA,0.499,1,physical,9 | 4,5,congruent
18601,CBA,0.433,1,physical,7 | 9,2,congruent
18601,CBA,0.458,1,physical,7 | 2,5,congruent
18601,CBA,0.568,0,physical,7 | 9,2,incongruent
18601,CBA,0.479,1,physical,9 | 9,0,neutral
18601,CBA,0.508,1,physical,3 | 8,5,congruent
18601,CBA,0.678,1,physical,3 | 1,2,incongruent
18601,CBA,0.466,1,physical,2 | 2,0,neutral
18601,CBA,0.49,1,physical,7 | 7,0,neutral
18601,CBA,0.459,1,physical,9 | 8,1,congruent
18601,CBA,0.393,1,physical,2 | 1,1,congruent
18601,CBA,0.583,1,physical,2 | 2,0,neutral
18601,CBA,0.379,1,physical,7 | 2,5,incongruent
18601,CBA,0.525,1,physical,6 | 6,0,neutral
18601,CBA,0.475,1,physical,2 | 4,2,incongruent
18601,CBA,0.493,1,physical,9 | 7,2,congruent
18601,CBA,0.391,1,physical,4 | 2,2,congruent
18601,CBA,0.291,0,physical,8 | 9,1,congruent
18601,CBA,0.429,0,physical,8 | 3,5,incongruent
18601,CBA,0.46,1,physical,2 | 7,5,congruent
18601,CBA,0.592,1,physical,1 | 1,0,neutral
18824,ACB,0.467,1,magnitude,3 | 8,5,incongruent
18824,ACB,0.813,1,magnitude,8 | 9,1,neutral
18824,ACB,0.631,1,magnitude,6 | 8,2,congruent
18824,ACB,0.73,1,magnitude,3 | 1,2,neutral
18824,ACB,0.592,1,magnitude,4 | 9,5,congruent
18824,ACB,0.578,1,magnitude,1 | 6,5,congruent
18824,ACB,0.564,1,magnitude,1 | 2,1,congruent
18824,ACB,0.63,1,magnitude,2 | 7,5,neutral
18824,ACB,0.827,1,magnitude,2 | 4,2,incongruent
18824,ACB,0.73,1,magnitude,9 | 4,5,congruent
18824,ACB,0.667,1,magnitude,8 | 6,2,incongruent
18824,ACB,0.645,1,magnitude,9 | 7,2,neutral
18824,ACB,0.629,1,magnitude,6 | 7,1,incongruent
18824,ACB,0.616,1,magnitude,2 | 4,2,neutral
18824,ACB,0.498,1,magnitude,4 | 2,2,neutral
18824,ACB,0.485,1,magnitude,4 | 9,5,neutral
18824,ACB,0.755,1,magnitude,6 | 8,2,neutral
18824,ACB,0.726,1,magnitude,8 | 3,5,neutral
18824,ACB,0.997,1,magnitude,4 | 2,2,incongruent
18824,ACB,0.632,1,magnitude,7 | 6,1,neutral
18824,ACB,0.689,1,magnitude,1 | 6,5,neutral
18824,ACB,0.564,1,magnitude,9 | 7,2,congruent
18824,ACB,0.543,1,magnitude,7 | 9,2,incongruent
18824,ACB,0.518,1,magnitude,3 | 8,5,congruent
18824,ACB,0.497,1,magnitude,9 | 4,5,incongruent
18824,ACB,0.498,1,magnitude,8 | 3,5,congruent
18824,ACB,0.717,1,magnitude,9 | 7,2,incongruent
18824,ACB,0.679,1,magnitude,6 | 1,5,neutral
18824,ACB,0.614,1,magnitude,7 | 6,1,incongruent
18824,ACB,0.48,1,magnitude,6 | 1,5,congruent
18824,ACB,0.814,1,magnitude,4 | 2,2,congruent
18824,ACB,0.613,1,magnitude,1 | 3,2,congruent
18824,ACB,0.666,1,magnitude,8 | 9,1,congruent
18824,ACB,0.532,1,magnitude,1 | 3,2,neutral
18824,ACB,0.495,1,magnitude,2 | 7,5,congruent
18824,ACB,0.596,1,magnitude,3 | 4,1,congruent
18824,ACB,0.643,1,magnitude,7 | 9,2,neutral
18824,ACB,0.51,1,magnitude,9 | 4,5,neutral
18824,ACB,0.544,1,magnitude,7 | 2,5,incongruent
18824,ACB,0.528,1,magnitude,4 | 9,5,incongruent
18824,ACB,0.771,1,magnitude,6 | 8,2,incongruent
18824,ACB,0.627,1,magnitude,2 | 1,1,incongruent
18824,ACB,0.619,1,magnitude,9 | 8,1,incongruent
18824,ACB,0.6,1,magnitude,2 | 1,1,congruent
18824,ACB,0.567,1,magnitude,4 | 3,1,congruent
18824,ACB,0.652,1,magnitude,8 | 6,2,congruent
18824,ACB,0.712,1,magnitude,7 | 2,5,neutral
18824,ACB,1.646,1,magnitude,1 | 6,5,incongruent
18824,ACB,0.497,1,magnitude,7 | 6,1,congruent
18824,ACB,0.496,1,magnitude,3 | 8,5,neutral
18824,ACB,0.611,1,magnitude,7 | 9,2,congruent
18824,ACB,0.581,1,magnitude,4 | 3,1,neutral
18824,ACB,0.629,1,magnitude,3 | 1,2,congruent
18824,ACB,0.747,1,magnitude,3 | 4,1,neutral
18824,ACB,0.556,1,magnitude,6 | 7,1,congruent
18824,ACB,0.795,1,magnitude,8 | 9,1,incongruent
18824,ACB,0.495,1,magnitude,9 | 8,1,congruent
18824,ACB,0.483,1,magnitude,7 | 2,5,congruent
18824,ACB,0.694,1,magnitude,9 | 8,1,neutral
18824,ACB,0.828,1,magnitude,8 | 6,2,neutral
18824,ACB,0.546,1,magnitude,1 | 3,2,incongruent
18824,ACB,0.619,1,magnitude,1 | 2,1,incongruent
18824,ACB,0.515,1,magnitude,1 | 2,1,neutral
18824,ACB,0.484,1,magnitude,6 | 1,5,incongruent
18824,ACB,0.568,1,magnitude,8 | 3,5,incongruent
18824,ACB,0.761,1,magnitude,3 | 4,1,incongruent
18824,ACB,0.547,1,magnitude,2 | 1,1,neutral
18824,ACB,0.48,1,magnitude,2 | 4,2,congruent
18824,ACB,0.565,1,magnitude,2 | 7,5,incongruent
18824,ACB,0.615,1,magnitude,6 | 7,1,neutral
18824,ACB,0.588,1,magnitude,3 | 1,2,incongruent
18824,ACB,0.729,1,magnitude,4 | 3,1,incongruent
18824,ACB,0.463,0,physical,1 | 6,5,incongruent
18824,ACB,0.765,1,physical,6 | 7,1,incongruent
18824,ACB,0.486,1,physical,4 | 4,0,neutral
18824,ACB,0.559,1,physical,2 | 2,0,neutral
18824,ACB,0.579,1,physical,9 | 9,0,neutral
18824,ACB,0.611,1,physical,2 | 4,2,congruent
18824,ACB,0.599,1,physical,6 | 8,2,congruent
18824,ACB,0.628,1,physical,1 | 1,0,neutral
18824,ACB,0.579,1,physical,3 | 3,0,neutral
18824,ACB,0.686,1,physical,7 | 7,0,neutral
18824,ACB,0.636,1,physical,8 | 6,2,incongruent
18824,ACB,0.517,1,physical,1 | 2,1,incongruent
18824,ACB,0.637,1,physical,7 | 7,0,neutral
18824,ACB,1.566,1,physical,8 | 3,5,incongruent
18824,ACB,0.502,1,physical,1 | 3,2,congruent
18824,ACB,0.466,1,physical,3 | 1,2,congruent
18824,ACB,0.452,1,physical,4 | 9,5,congruent
18824,ACB,0.452,1,physical,7 | 6,1,congruent
18824,ACB,0.546,1,physical,9 | 9,0,neutral
